riskAllele,pValue,pValueAnnotation,riskFrequency,orValue,beta,ci,mappedGenes,traitName,efoTraits
rs73496688-A,4e-07,-,0.144,1.11483,-,-,"RNU6-544P,TENM4",Bipolar I disorder,bipolar I disorder
rs60960031-G,4e-07,-,0.592,1.0815605,-,[NR],"TDRD15,NUTF2P8",Bipolar I disorder,bipolar I disorder
rs4301023-T,4e-07,-,0.474,1.0795,-,-,CADM2,Bipolar I disorder,bipolar I disorder
rs35755081-A,4e-07,-,0.481,1.08643,-,-,"TMEM178B,RNU4-74P",Bipolar I disorder,bipolar I disorder
rs56158970-G,4e-07,-,0.014,1.3937476,-,[NR],"LINC01392,POLR2DP2",Bipolar I disorder,bipolar I disorder
rs111444407-T,3e-09,-,0.147,1.13032,-,-,NCAN,Bipolar I disorder,bipolar I disorder
rs10950456-A,6e-09,-,0.572,1.0945,-,-,MAD1L1,Bipolar I disorder,bipolar I disorder
rs78014668-C,5e-07,-,0.0818,1.15189,-,-,MAPK8IP1,Bipolar I disorder,bipolar I disorder
rs78381888-A,5e-07,-,0.815,1.12165,-,-,"ANKRD23,CNNM3",Bipolar I disorder,bipolar I disorder
rs8047469-G,5e-07,-,0.878,1.1792731,-,[NR],PRSS36,Bipolar I disorder,bipolar I disorder
rs35958438-G,1e-08,-,0.776,1.1116052,-,[NR],LINC02694,Bipolar I disorder,bipolar I disorder
rs11647445-G,5e-07,-,0.346,1.0834001,-,[NR],GRIN2A,Bipolar I disorder,bipolar I disorder
rs57957974-A,2e-08,-,0.351,1.09582,-,-,PARP10,Bipolar I disorder,bipolar I disorder
rs3026433-G,6e-07,-,0.224999999999999,1.0986717,-,[NR],ATP2A2,Bipolar I disorder,bipolar I disorder
rs489337-G,2e-08,-,0.765,1.1068313,-,[NR],PACS1,Bipolar I disorder,bipolar I disorder
rs9834970-C,4e-14,-,0.491,1.1213151,-,[NR],"HSPD1P6,LINC02033",Bipolar I disorder,bipolar I disorder
rs546671-A,4e-07,-,0.447,1.07929,-,-,LINC01748,Bipolar I disorder,bipolar I disorder
rs1331621-T,4e-07,-,0.351,1.08318,-,-,"BRINP1,LINC01613",Bipolar I disorder,bipolar I disorder
chr5_7587236_D-?,7e-09,-,0.178,1.123444,-,[NR],-,Bipolar I disorder,bipolar I disorder
rs10744560-T,8e-09,-,0.336,1.09483,-,-,"CACNA1C-IT3,CACNA1C",Bipolar I disorder,bipolar I disorder
rs10745843-A,5e-07,-,0.621,1.08091,-,-,ANKS1B,Bipolar I disorder,bipolar I disorder
rs10994318-C,2e-08,-,0.0574,1.19339,-,-,ANK3,Bipolar I disorder,bipolar I disorder
rs7314975-A,5e-07,-,0.427,1.08101,-,-,"DHH,RHEBL1",Bipolar I disorder,bipolar I disorder
rs2305929-G,2e-08,-,0.176,1.1169441,-,[NR],"BABAM2,MRPL33",Bipolar I disorder,bipolar I disorder
rs55648125-G,6e-07,-,0.104999999999999,1.1280571,-,[NR],"TFAP2B,RPS17P5",Bipolar I disorder,bipolar I disorder
rs12226877-A,3e-08,-,0.293,1.10429,-,-,"FADS1,FADS2",Bipolar I disorder,bipolar I disorder
rs112968809-A,3e-08,-,0.229,1.10362,-,-,TTBK2-AS1,Bipolar I disorder,bipolar I disorder
rs71395455-A,4e-08,-,0.684,1.09461,-,-,"ZSCAN2-AS1,ZSCAN2",Bipolar I disorder,bipolar I disorder
rs2240917-T,5e-08,-,0.613,1.08872,-,-,ITIH4,Bipolar I disorder,bipolar I disorder
rs1850-C,6e-08,-,0.347,1.0911194,-,[NR],KCNG1,Bipolar I disorder,bipolar I disorder
rs9295358-A,7e-08,-,0.719,1.09527,-,-,RPS6KA2,Bipolar I disorder,bipolar I disorder
rs4794820-G,1e-07,-,0.55,1.0867556,-,[NR],LRRC3C,Bipolar I disorder,bipolar I disorder
rs6848834-T,1e-07,-,0.328,1.08839,-,-,"IL2,IL21",Bipolar I disorder,bipolar I disorder
rs10147900-T,2e-07,-,0.138,1.16137,-,-,"TMEM179,LINC02280",Bipolar I disorder,bipolar I disorder
rs57681866-G,2e-07,-,0.9384,1.1913697,-,[NR],"EIF2S2P7,ACTG1P22",Bipolar I disorder,bipolar I disorder
rs10092482-T,2e-07,-,0.178,1.1055,-,-,RRS1-DT,Bipolar I disorder,bipolar I disorder
rs2052387-A,2e-07,-,0.357,1.08546,-,-,LINC02384,Bipolar I disorder,bipolar I disorder
rs10058613-C,2e-07,-,0.315999999999999,1.0936253,-,[NR],KDM3B,Bipolar I disorder,bipolar I disorder
rs11972012-G,2e-07,-,0.75,1.1122727,-,[NR],"PURB,MYO1G",Bipolar I disorder,bipolar I disorder
rs13231398-G,2e-07,-,0.889,1.1363249,-,[NR],"RPL3P8,IMMP2L",Bipolar I disorder,bipolar I disorder
rs55706012-A,1e-09,-,0.923,1.14843,-,[1.1-1.19],"H3C8,H2BC9",Bipolar I disorder,bipolar I disorder
rs12202969-G,1e-12,-,0.515,0.92146,-,[0.9-0.94],"EIF4EBP2P3,MIR2113",Bipolar I disorder,bipolar I disorder
rs10455979-C,2e-09,-,0.496,0.93221,-,[0.91-0.95],RPS6KA2,Bipolar I disorder,bipolar I disorder
rs12154473-A,9e-15,-,0.406,0.91156,-,[0.89-0.93],MAD1L1,Bipolar I disorder,bipolar I disorder
rs113779084-G,2e-11,-,0.693,0.91916,-,[0.89-0.94],THSD7A,Bipolar I disorder,bipolar I disorder
rs10043984-C,1e-09,-,0.765,0.92238,-,[0.9-0.95],KDM3B,Bipolar I disorder,bipolar I disorder
rs6875495-C,1e-08,-,0.718,0.92617,-,[0.9-0.95],"PCDHA1,VTRNA1-3",Bipolar I disorder,bipolar I disorder
rs10917509-T,8e-10,-,0.365,1.0767,-,[1.05-1.1],HTR6,Bipolar I disorder,bipolar I disorder
rs1510606-G,3e-08,-,0.583,1.06983,-,[1.05-1.09],"TDRD15,NUTF2P8",Bipolar I disorder,bipolar I disorder
rs2314398-C,5e-09,-,0.667,1.07627,-,[1.05-1.1],"LMAN2L,CNNM4",Bipolar I disorder,bipolar I disorder
rs4676412-G,3e-08,-,0.214,0.92515,-,[0.9-0.95],"GPR35,CAPN10",Bipolar I disorder,bipolar I disorder
rs735931-A,1e-08,-,0.494,1.06983,-,[1.05-1.09],ATP2B2,Bipolar I disorder,bipolar I disorder
rs9834970-T,1e-21,-,0.523,0.89565,-,[0.87-0.92],"HSPD1P6,LINC02033",Bipolar I disorder,bipolar I disorder
rs7614498-A,2e-09,-,0.568,1.07229,-,[1.05-1.1],PBRM1,Bipolar I disorder,bipolar I disorder
rs9831123-C,2e-09,-,0.504,0.93351,-,[0.91-0.96],CADM2,Bipolar I disorder,bipolar I disorder
rs112481526-A,2e-09,-,0.741,0.92533,-,[0.9-0.95],BLTP1,Bipolar I disorder,bipolar I disorder
rs78308718-T,7e-11,-,0.773,0.9175,-,[0.89-0.94],ADCY2,Bipolar I disorder,bipolar I disorder
rs11744542-G,7e-09,-,0.723,0.92886,-,[0.9-0.95],Y_RNA,Bipolar I disorder,bipolar I disorder
rs4722033-G,1e-08,-,0.386,1.06919,-,[1.05-1.09],SP4,Bipolar I disorder,bipolar I disorder
rs7013693-G,3e-08,-,0.83,0.9209,-,[0.89-0.95],MSRA-DT,Bipolar I disorder,bipolar I disorder
rs6993953-C,1e-10,-,0.618,0.92496,-,[0.9-0.95],PLEC,Bipolar I disorder,bipolar I disorder
rs11137399-T,1e-10,-,0.64,0.91165,-,[0.88-0.94],"TUBBP5,IL9RP1",Bipolar I disorder,bipolar I disorder
rs4748468-G,3e-08,-,0.884,1.11149,-,[1.07-1.15],CACNB2,Bipolar I disorder,bipolar I disorder
rs61846516-C,3e-09,-,0.938,0.86675,-,[0.82-0.91],ANK3,Bipolar I disorder,bipolar I disorder
rs2273738-C,5e-10,-,0.869,0.90357,-,[0.87-0.94],XPNPEP1,Bipolar I disorder,bipolar I disorder
rs174592-A,7e-11,-,0.599,0.92506,-,[0.9-0.95],FADS2,Bipolar I disorder,bipolar I disorder
rs489337-A,2e-10,-,0.234,0.91649,-,[0.89-0.94],PACS1,Bipolar I disorder,bipolar I disorder
rs7122539-G,5e-09,-,0.653,1.0738,-,[1.05-1.1],PC,Bipolar I disorder,bipolar I disorder
rs12575685-G,5e-11,-,0.669,0.921,-,[0.9-0.95],SHANK2,Bipolar I disorder,bipolar I disorder
rs11062170-G,2e-16,-,0.665,0.90538,-,[0.88-0.93],CACNA1C,Bipolar I disorder,bipolar I disorder
rs12315174-G,4e-08,-,0.774,0.92524,-,[0.9-0.95],IFT81,Bipolar I disorder,bipolar I disorder
rs3803277-C,2e-08,-,0.537,1.06748,-,[1.04-1.09],ALOX5AP,Bipolar I disorder,bipolar I disorder
rs1924817-A,4e-08,-,0.233,1.07929,-,[1.05-1.11],B3GLCT,Bipolar I disorder,bipolar I disorder
rs6495988-C,1e-09,-,0.778,1.09286,-,[1.06-1.12],LINC02694,Bipolar I disorder,bipolar I disorder
rs1197546-A,4e-10,-,0.129,1.11204,-,[1.08-1.15],STARD9,Bipolar I disorder,bipolar I disorder
rs28379895-T,2e-08,-,0.495,0.93725,-,[0.91-0.96],"INSYN1-AS1,TBC1D21",Bipolar I disorder,bipolar I disorder
rs61074241-C,2e-10,-,0.754,1.08817,-,[1.06-1.11],ZNF592,Bipolar I disorder,bipolar I disorder
rs11650008-C,5e-08,-,0.533,1.06524,-,[1.04-1.09],"MYO19,PIGW",Bipolar I disorder,bipolar I disorder
rs228768-G,2e-09,-,0.294,1.0781,-,[1.05-1.1],HDAC5,Bipolar I disorder,bipolar I disorder
rs7248205-C,2e-08,-,0.34,0.93473,-,[0.91-0.96],ILF3,Bipolar I disorder,bipolar I disorder
rs112219496-G,5e-09,-,0.857,0.91192,-,[0.88-0.94],NCAN,Bipolar I disorder,bipolar I disorder
rs6073621-A,1e-09,-,0.674,1.07972,-,[1.06-1.1],STK4,Bipolar I disorder,bipolar I disorder
rs6032110-A,2e-08,-,0.511,1.06705,-,[1.04-1.09],RBPJL,Bipolar I disorder,bipolar I disorder
rs237475-T,2e-11,-,0.521,0.9257,-,[0.9-0.95],KCNB1,Bipolar I disorder,bipolar I disorder
rs75928006-?,9e-08,-,NR,2.58 unit increase,-,[1.86-3.60],"MIR522,RNU6-751P",Bipolar disorder (early vs late onset),bipolar I disorder
rs11127876-?,5e-08,-,NR,2.39 unit increase,-,[1.73-3.31],CADM2,Bipolar disorder (early vs late onset),bipolar I disorder
rs7914868-?,7e-07,-,NR,2.1 unit increase,-,[1.59-2.76],CUBN,Bipolar disorder (early vs late onset),bipolar I disorder
rs10106565-?,1e-07,-,NR,2.31 unit increase,-,[1.68-3.16],"RPL10P19,ERI1",Bipolar disorder (early vs late onset),bipolar I disorder
rs1039002-?,2e-08,(Latent Class 1),NR,-,-,-,PDE10A,Bipolar disorder,bipolar disorder
rs12563333-?,6e-08,(Latent Class 1),NR,-,-,-,LINC02779,Bipolar disorder,bipolar disorder
rs2727943-?,3e-08,(Latent Class 2),NR,-,-,-,"RPL21P17,RPL23AP39",Bipolar disorder,bipolar disorder
rs12290811-A,4e-06, ,0.15,1.2,-,[NR],TENM4,Bipolar disorder,bipolar disorder
rs10994336-T,9e-09, ,0.05,1.45,-,[NR],ANK3,Bipolar disorder,bipolar disorder
rs2314398-?,3e-06, ,0.69,1.17,-,[NR],"LMAN2L,CNNM4",Bipolar disorder,bipolar disorder
rs11720452-?,5e-06, ,0.58,1.15,-,[NR],"VENTXP7,SGO1-AS1",Bipolar disorder,bipolar disorder
rs12899449-?,4e-07, ,0.72,1.2,-,[NR],LINC02694,Bipolar disorder,bipolar disorder
rs8015959-T,5e-06, ,0.02,1.59,-,[NR],NPAS3,Bipolar disorder,bipolar disorder
rs1601875-?,7e-06, ,0.5,1.14,-,[NR],"SUMF1,CRBN",Bipolar disorder,bipolar disorder
rs4130590-?,3e-06, ,0.56,1.16,-,[NR],GARNL3,Bipolar disorder,bipolar disorder
rs16966460-G,4e-06, ,0.1,1.26,-,[NR],LINC02895,Bipolar disorder,bipolar disorder
rs12436436-C,5e-06, ,0.08,1.3,-,[NR],"RN7SKP205,LINC00596",Bipolar disorder,bipolar disorder
rs4380451-?,4e-06, ,0.73,1.18,-,[NR],CMTM8,Bipolar disorder,bipolar disorder
rs216345-T,4e-06, ,0.37,1.15,-,[NR],UBE2R2-AS1,Bipolar disorder,bipolar disorder
rs3821396-A,5e-06, ,0.11,1.23,-,[NR],ZNF385D,Bipolar disorder,bipolar disorder
rs1948368-?,6e-06, ,0.51,1.15,-,[NR],"LINC01307,LINC01709",Bipolar disorder,bipolar disorder
rs544368-T,6e-06, ,0.12,1.22,-,[NR],SIAE,Bipolar disorder,bipolar disorder
rs2278702-?,6e-06, ,0.83,1.21,-,[NR],ARNT2-DT,Bipolar disorder,bipolar disorder
rs7226677-G,7e-06, ,0.12,1.24,-,[NR],THOC1-DT,Bipolar disorder,bipolar disorder
rs703965-?,8e-06, ,0.54,1.15,-,[NR],ZMIZ1,Bipolar disorder,bipolar disorder
rs1006737-A,7e-08,-,0.32,1.18,-,[NR],CACNA1C,Bipolar disorder,bipolar disorder
rs17082664-G,4e-06, ,0.13,1.22,-,[NR],SYNE1,Bipolar disorder,bipolar disorder
rs7042161-?,6e-06, ,0.65,1.15,-,[NR],SVEP1,Bipolar disorder,bipolar disorder
rs2314398-?,3e-06,-,NR,-,-,-,"LMAN2L,CNNM4",Bipolar disorder,bipolar disorder
rs3821396-?,5e-06,-,NR,-,-,-,ZNF385D,Bipolar disorder,bipolar disorder
rs17082664-?,4e-06,-,NR,-,-,-,SYNE1,Bipolar disorder,bipolar disorder
rs7041940-?,3e-06,-,NR,-,-,-,GARNL3,Bipolar disorder,bipolar disorder
rs109944336-?,9e-09,-,NR,-,-,-,ANK3,Bipolar disorder,bipolar disorder
rs1938526-?,1e-08,-,NR,-,-,-,ANK3,Bipolar disorder,bipolar disorder
rs12290811-?,4e-06,-,NR,-,-,-,TENM4,Bipolar disorder,bipolar disorder
rs544368-?,6e-06,-,NR,-,-,-,SIAE,Bipolar disorder,bipolar disorder
rs1006737-?,7e-08,-,NR,-,-,-,CACNA1C,Bipolar disorder,bipolar disorder
rs12436436-?,5e-06,-,NR,-,-,-,"RN7SKP205,LINC00596",Bipolar disorder,bipolar disorder
rs12899449-?,4e-07,-,NR,-,-,-,LINC02694,Bipolar disorder,bipolar disorder
rs722667-?,7e-06,-,NR,-,-,-,PDE5A,Bipolar disorder,bipolar disorder
rs216345-?,4e-06,-,NR,-,-,-,UBE2R2-AS1,Bipolar disorder,bipolar disorder
rs2278702-?,6e-06,-,NR,-,-,-,ARNT2-DT,Bipolar disorder,bipolar disorder
rs1419103-?,6e-06,-,NR,-,-,-,"LINC01307,LINC01709",Bipolar disorder,bipolar disorder
rs1601875-?,7e-06,-,NR,-,-,-,"SUMF1,CRBN",Bipolar disorder,bipolar disorder
rs307660-?,5e-06,-,NR,-,-,-,UBAP2,Bipolar disorder,bipolar disorder
rs7042161-?,6e-06,-,NR,-,-,-,SVEP1,Bipolar disorder,bipolar disorder
rs16966460-?,4e-06,-,NR,-,-,-,LINC02895,Bipolar disorder,bipolar disorder
rs703965-?,8e-06,-,NR,-,-,-,ZMIZ1,Bipolar disorder,bipolar disorder
rs7226677-?,7e-06,-,NR,-,-,-,THOC1-DT,Bipolar disorder,bipolar disorder
rs17746001-T,3e-07,-,NR,2.03,-,[NR],"NDUFB5P1,RNA5SP173",Bipolar disorder,bipolar disorder
rs17040430-T,9e-07,-,NR,1.89,-,[NR],"CMKLR1,LINC01498",Bipolar disorder,bipolar disorder
rs271738-A,5e-06,-,NR,1.32,-,[NR],LINC01354,Bipolar disorder,bipolar disorder
rs289585-?,5e-06,-,NR,1.45,-,[NR],DLC1,Bipolar disorder,bipolar disorder
rs4650608-T,8e-09,-,NR,-,-,-,"ADGRL4,IFI44",Bipolar disorder,bipolar disorder
rs2271893-G,2e-10,-,NR,-,-,-,LMAN2L,Bipolar disorder,bipolar disorder
rs7618915-G,3e-10,-,NR,-,-,-,TWF2,Bipolar disorder,bipolar disorder
rs9834970-C,1e-12,-,NR,-,-,-,"HSPD1P6,LINC02033",Bipolar disorder,bipolar disorder
rs4948418-T,4e-10,-,NR,-,-,-,ANK3,Bipolar disorder,bipolar disorder
rs2989476-C,3e-06,-,NR,1.16,-,[NR],LINC01748,Bipolar disorder,bipolar disorder
rs12618769-T,1e-06,-,NR,1.25,-,[NR],MGAT4A,Bipolar disorder,bipolar disorder
rs7747960-A,9e-06,-,NR,1.23,-,[NR],SYNE1,Bipolar disorder,bipolar disorder
rs4770394-A,9e-06,-,NR,1.59,-,[NR],"HMGA1P6,NUS1P2",Bipolar disorder,bipolar disorder
rs17197037-A,2e-06,-,NR,1.17,-,[NR],HNRNPC,Bipolar disorder,bipolar disorder
rs1038094-G,9e-06,-,NR,1.27,-,[NR],"CD276,INSYN1",Bipolar disorder,bipolar disorder
rs1012053-A,2e-08, ,0.84,1.59,-,[1.35-1.87],DGKH,Bipolar disorder,bipolar disorder
rs6458307-?,4e-06, ,0.69,1.19,-,[1.04-1.33],"TBCC,BICRAL",Bipolar disorder,bipolar disorder
rs683395-G,5e-06, ,0.08,1.47,-,[1.26-1.71],LAMP3,Bipolar disorder,bipolar disorder
rs2953145-C,7e-06,-,0.23,1.84,-,[1.31-2.58],RNPEPL1,Bipolar disorder,bipolar disorder
rs420259-A,6e-08, ,0.72,2.08,-,[1.60-2.71],PALB2,Bipolar disorder,bipolar disorder
rs10134944-T,7e-06, ,0.09,1.45,-,[1.24-1.68],SLC35F4,Bipolar disorder,bipolar disorder
rs11622475-C,8e-06,-,0.7,1.13,-,[0.89-1.44],TDRD9,Bipolar disorder,bipolar disorder
rs3761218-C,7e-06, ,0.64,1.03,-,[1.15-1.23],CDC25B,Bipolar disorder,bipolar disorder
rs1064395-A,2e-09,-,0.16,1.17,-,[NR],NCAN,Bipolar disorder,bipolar disorder
rs2111504-T,2e-06,(AA),0.23,1.74,-,[NR],DPY19L3,Bipolar disorder,bipolar disorder
rs9378249-?,1e-08,(addtive),NR,-,-,-,HLA-B,Bipolar disorder,bipolar disorder
rs12938916-?,5e-07,(dominant),NR,-,-,-,"RN7SKP94,CCDC182",Bipolar disorder,bipolar disorder
rs420259-?,9e-09,(recessive),NR,-,-,-,PALB2,Bipolar disorder,bipolar disorder
rs3761218-?,1e-06,(dominant),NR,-,-,-,CDC25B,Bipolar disorder,bipolar disorder
rs2989476-?,2e-06,(dominant),NR,-,-,-,LINC01748,Bipolar disorder,bipolar disorder
rs4027132-?,3e-06,(recessive),NR,-,-,-,MIR3681HG,Bipolar disorder,bipolar disorder
rs7570682-?,3e-06,(addtive),NR,-,-,-,"LINC01965,AHCYP3",Bipolar disorder,bipolar disorder
rs1375144-?,2e-06,(addtive),NR,-,-,-,DPP10,Bipolar disorder,bipolar disorder
rs2953174-?,6e-06,(addtive),NR,-,-,-,CAPN10-DT,Bipolar disorder,bipolar disorder
rs4627791-?,2e-06,(addtive),NR,-,-,-,CMTM8,Bipolar disorder,bipolar disorder
rs514636-?,7e-07,(dominant),NR,-,-,-,LAMP3,Bipolar disorder,bipolar disorder
rs6844851-?,9e-07,(dominant),NR,-,-,-,"RNA5SP173,NDUFB5P1",Bipolar disorder,bipolar disorder
rs2286492-?,8e-06,(recessive),NR,-,-,-,HYCC1,Bipolar disorder,bipolar disorder
rs2609653-?,7e-06,(addtive),NR,-,-,-,"LINC01288,RPL10AP3",Bipolar disorder,bipolar disorder
rs4739466-?,4e-06,(recessive),NR,-,-,-,"KCNU1,SMARCE1P4",Bipolar disorder,bipolar disorder
rs914715-?,1e-06,(dominant),NR,-,-,-,TLE4,Bipolar disorder,bipolar disorder
rs10982256-?,9e-06,(addtive),NR,-,-,-,WHRN,Bipolar disorder,bipolar disorder
rs17600642-?,5e-06,(addtive),NR,-,-,-,ADAMTS14,Bipolar disorder,bipolar disorder
rs1568889-?,2e-06,(recessive),NR,-,-,-,"HSP90AA2P,KIF18A",Bipolar disorder,bipolar disorder
rs10134944-?,1e-06,(dominant),NR,-,-,-,SLC35F4,Bipolar disorder,bipolar disorder
rs6574988-?,4e-06,(dominant),NR,-,-,-,HISLA,Bipolar disorder,bipolar disorder
rs11622475-?,2e-06,(addtive),NR,-,-,-,TDRD9,Bipolar disorder,bipolar disorder
rs1344484-?,2e-06,(addtive),NR,-,-,-,"CASC16,PHB1P21",Bipolar disorder,bipolar disorder
rs7247513-?,2e-06,(addtive),NR,-,-,-,ZNF490,Bipolar disorder,bipolar disorder
rs472913-C,2e-07,-,0.5,1.18,-,[1.11-1.25],LINC01748,Bipolar disorder,bipolar disorder
rs6990255-T,6e-06,-,0.95,1.33,-,[1.18-1.51],"RPL10AP3,RPL6P22",Bipolar disorder,bipolar disorder
rs2905072-A,6e-06,-,0.77,1.21,-,[1.11-1.32],GFI1B,Bipolar disorder,bipolar disorder
rs1035050-T,9e-06,-,0.4,1.17,-,[1.09-1.25],"ZNF652-AS1,NGFR",Bipolar disorder,bipolar disorder
rs7250872-T,2e-06,-,0.69,1.21,-,[1.12-1.31],ATP8B3,Bipolar disorder,bipolar disorder
rs6733011-G,3e-06,-,0.46,1.17,-,[1.10-1.25],CRACDL,Bipolar disorder,bipolar disorder
rs1042779-A,2e-07,-,0.63,1.19,-,[1.11-1.27],ITIH1,Bipolar disorder,bipolar disorder
rs7427021-G,5e-06,-,0.56,1.16,-,[1.09-1.24],"NGRNP1,MIR1263",Bipolar disorder,bipolar disorder
rs17418283-C,1e-07,-,0.28,1.21,-,[1.13-1.30],MCTP1,Bipolar disorder,bipolar disorder
rs6494849-A,7e-06,-,0.12,1.23,-,[1.13-1.35],"RNU6-745P,TLE3",Bipolar disorder,bipolar disorder
rs13409348-G,3e-06,-,0.24,1.2,-,[1.11-1.29],CTNNA2,Bipolar disorder,bipolar disorder
rs2537859-T,4e-06,-,0.6,1.16,-,[1.09-1.24],"LINC02260,KIT",Bipolar disorder,bipolar disorder
rs2242663-T,1e-06,-,0.25,1.2,-,[1.11-1.29],CTSF,Bipolar disorder,bipolar disorder
rs2070615-G,1e-06,-,NR,1.1,-,[NR],CACNB3,Bipolar disorder,bipolar disorder
rs12576775-G,4e-08,-,NR,1.14,-,[NR],TENM4,Bipolar disorder,bipolar disorder
rs3845817-T,2e-06,-,NR,1.1,-,[NR],LINC02934,Bipolar disorder,bipolar disorder
rs2176528-C,4e-06,-,NR,1.12,-,[NR],"GLULP6,SEC61GP1",Bipolar disorder,bipolar disorder
rs4660531-T,3e-06,-,NR,1.1,-,[NR],FOXO6,Bipolar disorder,bipolar disorder
rs2287921-C,3e-06,-,NR,1.1,-,[NR],RASIP1,Bipolar disorder,bipolar disorder
rs7827290-G,9e-06,-,NR,1.1,-,[NR],SLC45A4,Bipolar disorder,bipolar disorder
rs12730292-C,5e-06,-,NR,1.1,-,[NR],"ADGRL4,IFI44",Bipolar disorder,bipolar disorder
rs6746896-A,2e-06,-,NR,1.1,-,[NR],"CNNM4,LMAN2L",Bipolar disorder,bipolar disorder
rs10994397-T,3e-07,-,NR,1.22,-,[NR],ANK3,Bipolar disorder,bipolar disorder
rs4765913-A,2e-08,-,NR,1.14,-,[NR],CACNA1C,Bipolar disorder,bipolar disorder
rs10896135-G,2e-07,-,NR,1.12,-,[NR],TOP6BL,Bipolar disorder,bipolar disorder
rs7578035-G,3e-06,-,NR,1.09,-,[NR],LINC02611,Bipolar disorder,bipolar disorder
rs9371601-T,7e-07,-,NR,1.1,-,[NR],SYNE1,Bipolar disorder,bipolar disorder
rs736408-C,2e-06,-,NR,1.1,-,[NR],ITIH3,Bipolar disorder,bipolar disorder
rs12912251-G,3e-06,-,NR,1.1,-,[NR],LINC02694,Bipolar disorder,bipolar disorder
rs4332037-T,7e-06,-,NR,1.11,-,[NR],MAD1L1,Bipolar disorder,bipolar disorder
rs6550435-G,9e-06,-,NR,1.09,-,[NR],"LINC02033,TRANK1",Bipolar disorder,bipolar disorder
rs8099939-T,2e-06,-,0.39,1.95,-,[1.43-2.67],GRIK5,Bipolar disorder,bipolar disorder
rs6122972-A,3e-06,-,0.82,2.02,-,[1.46-2.80],"BCAS4,PARD6B",Bipolar disorder,bipolar disorder
